wind_speed,expected_power
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,51
5,145
6,276
7,457
8,692
9,985
10,1321
11,1639
12,1850
13,1954
14,1997
15,1900
16,1700
17,1100
18,1000
19,900
20,500
21,100
22,100
23,100
24,100
25,100
26,0
