Date_Time,PredictPower
2024/6/14 10:30,24.3414
2024/6/14 10:45,24.4596
2024/6/14 11:00,24.5303
2024/6/14 11:15,24.5543
2024/6/14 11:30,24.5392
2024/6/14 11:45,24.5237
2024/6/14 12:00,24.5384
2024/6/14 12:15,24.1461
2024/6/14 12:30,24.0018
2024/6/14 12:45,24.0201
2024/6/14 13:00,24.0819
2024/6/14 13:15,24.1451
2024/6/14 13:30,24.2431
2024/6/14 13:45,24.376
2024/6/14 14:00,24.5107
2024/6/14 14:15,24.609
2024/6/14 14:30,24.6787
2024/6/14 14:45,24.7455
2024/6/14 15:00,24.7419
2024/6/14 15:15,24.5383
2024/6/14 15:30,24.6339
2024/6/14 15:45,24.5005
2024/6/14 16:00,24.1043
2024/6/14 16:15,23.5064
2024/6/14 16:30,23.2495
2024/6/14 16:45,22.8088
2024/6/14 17:00,22.247
2024/6/14 17:15,21.5571
2024/6/14 17:30,20.7831
2024/6/14 17:45,19.9301
2024/6/14 18:00,18.9909
2024/6/14 18:15,18.1479
2024/6/14 18:30,17.1919
2024/6/14 18:45,16.1491
2024/6/14 19:00,15.0149
2024/6/14 19:15,13.8801
2024/6/14 19:30,12.7792
2024/6/14 19:45,11.7217
2024/6/14 20:00,10.7513
2024/6/14 20:15,9.95633
2024/6/14 20:30,8.72558
2024/6/14 20:45,7.68653
2024/6/14 21:00,6.79237
2024/6/14 21:15,5.99388
2024/6/14 21:30,5.30871
2024/6/14 21:45,4.68237
2024/6/14 22:00,4.1779
2024/6/14 22:15,3.77214
2024/6/14 22:30,3.38861
2024/6/14 22:45,3.11403
2024/6/14 23:00,2.92611
2024/6/14 23:15,2.67563
2024/6/14 23:30,2.50457
2024/6/14 23:45,2.42949
2024/6/15 0:00,6.17573
2024/6/15 0:15,6.12314
2024/6/15 0:30,6.14977
2024/6/15 0:45,6.20281
2024/6/15 1:00,6.25916
2024/6/15 1:15,6.34234
2024/6/15 1:30,6.37903
2024/6/15 1:45,6.38913
2024/6/15 2:00,6.31915
2024/6/15 2:15,6.32098
2024/6/15 2:30,6.25683
2024/6/15 2:45,6.1224
2024/6/15 3:00,5.98405
2024/6/15 3:15,5.86832
2024/6/15 3:30,5.82176
2024/6/15 3:45,5.77447
2024/6/15 4:00,5.72618
2024/6/15 4:15,5.78313
2024/6/15 4:30,5.75922
2024/6/15 4:45,5.68115
2024/6/15 5:00,5.57533
2024/6/15 5:15,5.46532
2024/6/15 5:30,5.32807
2024/6/15 5:45,5.16218
2024/6/15 6:00,5.07287
2024/6/15 6:15,5.00914
2024/6/15 6:30,5.04394
2024/6/15 6:45,5.13075
2024/6/15 7:00,5.1218
2024/6/15 7:15,5.15191
2024/6/15 7:30,5.22781
2024/6/15 7:45,5.37276
2024/6/15 8:00,5.49781
2024/6/15 8:15,5.64624
2024/6/15 8:30,5.74812
2024/6/15 8:45,5.85028
2024/6/15 9:00,5.99928
2024/6/15 9:15,6.06565
2024/6/15 9:30,6.26483
2024/6/15 9:45,6.54218
2024/6/15 10:00,6.90779
2024/6/15 10:15,7.40215
2024/6/15 10:30,7.98991
2024/6/15 10:45,8.65726
2024/6/15 11:00,9.27061
2024/6/15 11:15,9.82612
2024/6/15 11:30,10.3169
2024/6/15 11:45,10.7215
2024/6/15 12:00,11.2217
2024/6/15 12:15,11.7164
2024/6/15 12:30,12.1642
2024/6/15 12:45,12.5429
2024/6/15 13:00,12.9217
2024/6/15 13:15,13.2951
2024/6/15 13:30,13.8001
2024/6/15 13:45,14.3845
2024/6/15 14:00,14.9461
2024/6/15 14:15,15.4058
2024/6/15 14:30,15.774
2024/6/15 14:45,16.0813
2024/6/15 15:00,16.2965
2024/6/15 15:15,16.3933
2024/6/15 15:30,16.4254
2024/6/15 15:45,16.407
2024/6/15 16:00,16.2885
2024/6/15 16:15,16.1356
2024/6/15 16:30,15.8747
2024/6/15 16:45,15.5718
2024/6/15 17:00,15.1779
2024/6/15 17:15,14.6434
2024/6/15 17:30,14.1269
2024/6/15 17:45,13.478
2024/6/15 18:00,12.8197
2024/6/15 18:15,12.1545
2024/6/15 18:30,11.4628
2024/6/15 18:45,10.7717
2024/6/15 19:00,10.0378
2024/6/15 19:15,9.47001
2024/6/15 19:30,9.05788
2024/6/15 19:45,8.82587
2024/6/15 20:00,8.72792
2024/6/15 20:15,8.64733
2024/6/15 20:30,8.59944
2024/6/15 20:45,8.58538
2024/6/15 21:00,8.70639
2024/6/15 21:15,8.87887
2024/6/15 21:30,9.25368
2024/6/15 21:45,9.78597
2024/6/15 22:00,10.491
2024/6/15 22:15,11.2629
2024/6/15 22:30,12.0172
2024/6/15 22:45,12.864
2024/6/15 23:00,13.6806
2024/6/15 23:15,14.447
2024/6/15 23:30,15.0923
2024/6/15 23:45,15.6224
2024/6/16 0:00,5.80541
2024/6/16 0:15,6.20749
2024/6/16 0:30,6.68383
2024/6/16 0:45,7.20147
2024/6/16 1:00,7.73404
