wind_speed,expected_power
2,0
2.5,0
3,10
3.5,21.5
4,33
4.5,59.5
5,86
5.5,123
6,160
6.5,211
7,262
7.5,330
8,398
8.5,483
9,568
9.5,650
10,732
10.5,784
11,836
11.5,841.5
12,847
12.5,848.5
13,850
13.5,850
14,850
14.5,850
15,850
15.5,850
16,850
16.5,850
17,850
17.5,850
18,850
18.5,850
19,850
19.5,0
